fare_id,route_id,origin_id,destination_id,contains_id
fare_0001,route_0001,,,
fare_0002,route_0002,,,
fare_0003,route_0003,,,
fare_0004,route_0004,,,
fare_0005,route_0005,,,
fare_0006,route_0006,,,
fare_0007,route_0007,,,
fare_0008,route_0008,,,
fare_0009,route_0009,,,
fare_0010,route_0010,,,
fare_0011,route_0011,,,
fare_0012,route_0012,,,
fare_0013,route_0013,,,
fare_0014,route_0014,,,
fare_0015,route_0015,,,
fare_0016,route_0016,,,
fare_0017,route_0017,,,
fare_0018,route_0018,,,
fare_0019,route_0019,,,
fare_0020,route_0020,,,
fare_0021,route_0021,,,
fare_0022,route_0022,,,
fare_0023,route_0023,,,
fare_0024,route_0024,,,
fare_0025,route_0025,,,
fare_0026,route_0026,,,
fare_0027,route_0027,,,
fare_0028,route_0028,,,
fare_0029,route_0029,,,
fare_0030,route_0030,,,
fare_0031,route_0031,,,
fare_0033,route_0033,,,
fare_0034,route_0034,,,
fare_0035,route_0035,,,
fare_0036,route_0036,,,
fare_0037,route_0037,,,
fare_0038,route_0038,,,
fare_0039,route_0039,,,
fare_0040,route_0040,,,
fare_0041,route_0041,,,
fare_0042,route_0042,,,
fare_0043,route_0043,,,
fare_0044,route_0044,,,
fare_0045,route_0045,,,
fare_0046,route_0046,,,
fare_0047,route_0047,,,
fare_0048,route_0048,,,
fare_0049,route_0049,,,
fare_0050,route_0050,,,
fare_0051,route_0051,,,
fare_0052,route_0052,,,
fare_0053,route_0053,,,
fare_0054,route_0054,,,
fare_0055,route_0055,,,
fare_0056,route_0056,,,
fare_0057,route_0057,,,
fare_0058,route_0058,,,
fare_0059,route_0059,,,
fare_0060,route_0060,,,
fare_0061,route_0061,,,
fare_0062,route_0062,,,
fare_0063,route_0063,,,
fare_0064,route_0064,,,
fare_0065,route_0065,,,
fare_0066,route_0066,,,
fare_0067,route_0067,,,
fare_0068,route_0068,,,
fare_0069,route_0069,,,
fare_0070,route_0070,,,
fare_0071,route_0071,,,
fare_0072,route_0072,,,
fare_0073,route_0073,,,
fare_0074,route_0074,,,
fare_0075,route_0075,,,
fare_0076,route_0076,,,
fare_0077,route_0077,,,
fare_0078,route_0078,,,
fare_0079,route_0079,,,
fare_0080,route_0080,,,
fare_0081,route_0081,,,
fare_0082,route_0082,,,
fare_0083,route_0083,,,
fare_0084,route_0084,,,
fare_0085,route_0085,,,
fare_0086,route_0086,,,
fare_0087,route_0087,,,
fare_0088,route_0088,,,
fare_0089,route_0089,,,
fare_0090,route_0090,,,
fare_0091,route_0091,,,
fare_0092,route_0092,,,
fare_0093,route_0093,,,
fare_0094,route_0094,,,
fare_0095,route_0095,,,
fare_0096,route_0096,,,
fare_0097,route_0097,,,
fare_0098,route_0098,,,
fare_0099,route_0099,,,
fare_0100,route_0100,,,
fare_0101,route_0101,,,
fare_0102,route_0102,,,
fare_0103,route_0103,,,
fare_0104,route_0110,,,
