trip_id,start_time,end_time,headway_secs,exact_times
0,05:00:00,07:00:00,3600,0
0,07:00:00,09:00:00,2400,0
0,09:00:00,17:00:00,2880,0
0,17:00:00,20:00:00,2160,0
1,05:00:00,07:00:00,3600,0
1,07:00:00,09:00:00,2400,0
1,09:00:00,17:00:00,2880,0
1,17:00:00,20:00:00,2160,0
2,05:00:00,07:00:00,3600,0
2,07:00:00,09:00:00,2400,0
2,09:00:00,17:00:00,2220,0
2,17:00:00,20:00:00,3600,0
2,20:00:00,22:00:00,3600,0
3,05:00:00,07:00:00,3600,0
3,07:00:00,09:00:00,2400,0
3,09:00:00,17:00:00,2220,0
3,17:00:00,20:00:00,3600,0
3,20:00:00,22:00:00,3600,0
4,05:00:00,22:00:00,3600,0
5,05:00:00,22:00:00,3600,0
6,05:00:00,22:00:00,3600,0
7,05:00:00,22:00:00,3600,0
8,05:00:00,07:00:00,900,0
8,07:00:00,09:00:00,180,0
8,09:00:00,17:00:00,120,0
9,05:00:00,07:00:00,900,0
9,07:00:00,09:00:00,180,0
9,09:00:00,17:00:00,120,0
10,05:00:00,22:00:00,3600,0
11,05:00:00,22:00:00,3600,0
12,05:00:00,22:00:00,3600,0
13,05:00:00,22:00:00,3600,0
14,05:00:00,22:00:00,3600,0
15,05:00:00,22:00:00,3600,0
16,05:00:00,07:00:00,3600,0
16,07:00:00,09:00:00,600,0
16,09:00:00,17:00:00,600,0
16,17:00:00,20:00:00,600,0
17,05:00:00,07:00:00,3600,0
17,07:00:00,09:00:00,600,0
17,09:00:00,17:00:00,600,0
17,17:00:00,20:00:00,600,0
18,05:00:00,22:00:00,1800,0
19,05:00:00,22:00:00,1800,0
20,05:00:00,22:00:00,3600,0
21,05:00:00,22:00:00,3600,0
22,05:00:00,22:00:00,2400,0
23,05:00:00,22:00:00,2400,0
24,05:00:00,07:00:00,1800,0
24,07:00:00,09:00:00,780,0
24,09:00:00,17:00:00,1080,0
24,17:00:00,20:00:00,660,0
24,20:00:00,22:00:00,1800,0
25,05:00:00,07:00:00,1800,0
25,07:00:00,09:00:00,780,0
25,09:00:00,17:00:00,1080,0
25,17:00:00,20:00:00,660,0
25,20:00:00,22:00:00,1800,0
26,05:00:00,22:00:00,1800,0
27,05:00:00,22:00:00,1800,0
28,05:00:00,22:00:00,1800,0
29,05:00:00,22:00:00,1800,0
30,05:00:00,07:00:00,2400,0
30,07:00:00,09:00:00,2400,0
30,09:00:00,17:00:00,2640,0
30,17:00:00,20:00:00,3600,0
30,20:00:00,22:00:00,7200,0
31,05:00:00,07:00:00,2400,0
31,07:00:00,09:00:00,2400,0
31,09:00:00,17:00:00,2640,0
31,17:00:00,20:00:00,3600,0
31,20:00:00,22:00:00,7200,0
32,05:00:00,22:00:00,1800,0
33,05:00:00,22:00:00,1800,0
34,05:00:00,22:00:00,3600,0
35,05:00:00,22:00:00,3600,0
36,05:00:00,07:00:00,1800,0
36,07:00:00,09:00:00,1200,0
36,09:00:00,17:00:00,1620,0
36,17:00:00,20:00:00,1560,0
36,20:00:00,22:00:00,7200,0
37,05:00:00,07:00:00,1800,0
37,07:00:00,09:00:00,1200,0
37,09:00:00,17:00:00,1620,0
37,17:00:00,20:00:00,1560,0
37,20:00:00,22:00:00,7200,0
38,05:00:00,07:00:00,3600,0
38,07:00:00,09:00:00,3600,0
38,09:00:00,17:00:00,1680,0
38,17:00:00,20:00:00,1560,0
38,20:00:00,22:00:00,3600,0
39,05:00:00,07:00:00,3600,0
39,07:00:00,09:00:00,3600,0
39,09:00:00,17:00:00,1680,0
39,17:00:00,20:00:00,1560,0
39,20:00:00,22:00:00,3600,0
40,05:00:00,22:00:00,1800,0
41,05:00:00,22:00:00,1800,0
42,05:00:00,22:00:00,1200,0
43,05:00:00,22:00:00,1200,0
44,05:00:00,22:00:00,3600,0
45,05:00:00,22:00:00,3600,0
46,05:00:00,22:00:00,1200,0
47,05:00:00,22:00:00,1200,0
48,05:00:00,22:00:00,1800,0
49,05:00:00,22:00:00,1800,0
50,05:00:00,22:00:00,1800,0
51,05:00:00,22:00:00,1800,0
52,05:00:00,07:00:00,1440,0
52,07:00:00,09:00:00,1440,0
52,09:00:00,17:00:00,1920,0
52,17:00:00,20:00:00,1800,0
52,20:00:00,22:00:00,7200,0
53,05:00:00,07:00:00,1440,0
53,07:00:00,09:00:00,1440,0
53,09:00:00,17:00:00,1920,0
53,17:00:00,20:00:00,1800,0
53,20:00:00,22:00:00,7200,0
54,05:00:00,22:00:00,1800,0
55,05:00:00,22:00:00,1800,0
56,05:00:00,22:00:00,1200,0
57,05:00:00,22:00:00,1200,0
58,05:00:00,22:00:00,3600,0
59,05:00:00,22:00:00,3600,0
60,05:00:00,22:00:00,2400,0
61,05:00:00,22:00:00,2400,0
62,05:00:00,07:00:00,2400,0
62,07:00:00,09:00:00,2400,0
62,09:00:00,17:00:00,1380,0
62,17:00:00,20:00:00,1200,0
62,20:00:00,22:00:00,2400,0
63,05:00:00,07:00:00,2400,0
63,07:00:00,09:00:00,2400,0
63,09:00:00,17:00:00,1380,0
63,17:00:00,20:00:00,1200,0
63,20:00:00,22:00:00,2400,0
64,05:00:00,07:00:00,2400,0
64,07:00:00,09:00:00,2400,0
64,09:00:00,17:00:00,2040,0
64,17:00:00,20:00:00,2700,0
64,20:00:00,22:00:00,3600,0
65,05:00:00,07:00:00,2400,0
65,07:00:00,09:00:00,2400,0
65,09:00:00,17:00:00,2040,0
65,17:00:00,20:00:00,2700,0
65,20:00:00,22:00:00,3600,0
66,05:00:00,22:00:00,3600,0
67,05:00:00,22:00:00,3600,0
68,05:00:00,07:00:00,2400,0
68,07:00:00,09:00:00,1800,0
68,09:00:00,17:00:00,1920,0
68,17:00:00,20:00:00,1380,0
68,20:00:00,22:00:00,7200,0
69,05:00:00,07:00:00,2400,0
69,07:00:00,09:00:00,1800,0
69,09:00:00,17:00:00,1920,0
69,17:00:00,20:00:00,1380,0
69,20:00:00,22:00:00,7200,0
70,05:00:00,22:00:00,1800,0
71,05:00:00,22:00:00,1800,0
72,05:00:00,22:00:00,1800,0
73,05:00:00,22:00:00,1800,0
74,05:00:00,22:00:00,1800,0
75,05:00:00,22:00:00,1800,0
76,09:00:00,17:00:00,3180,0
77,09:00:00,17:00:00,3180,0
78,05:00:00,22:00:00,3600,0
79,05:00:00,22:00:00,3600,0
80,05:00:00,22:00:00,3600,0
81,05:00:00,22:00:00,1800,0
82,05:00:00,22:00:00,3600,0
83,05:00:00,22:00:00,1800,0
84,05:00:00,07:00:00,3600,0
84,07:00:00,09:00:00,2400,0
84,09:00:00,17:00:00,1320,0
84,17:00:00,20:00:00,1380,0
84,20:00:00,22:00:00,2400,0
85,05:00:00,07:00:00,3600,0
85,07:00:00,09:00:00,2400,0
85,09:00:00,17:00:00,1320,0
85,17:00:00,20:00:00,1380,0
85,20:00:00,22:00:00,2400,0
86,05:00:00,22:00:00,3000,0
87,05:00:00,22:00:00,3000,0
88,05:00:00,07:00:00,660,0
88,07:00:00,09:00:00,720,0
88,09:00:00,17:00:00,1020,0
88,17:00:00,20:00:00,1560,0
88,20:00:00,22:00:00,1020,0
89,05:00:00,07:00:00,660,0
89,07:00:00,09:00:00,720,0
89,09:00:00,17:00:00,1020,0
89,17:00:00,20:00:00,1560,0
89,20:00:00,22:00:00,1020,0
90,05:00:00,07:00:00,900,0
90,07:00:00,09:00:00,1200,0
90,09:00:00,17:00:00,1680,0
90,17:00:00,20:00:00,1200,0
90,20:00:00,22:00:00,3600,0
91,05:00:00,07:00:00,900,0
91,07:00:00,09:00:00,1200,0
91,09:00:00,17:00:00,1680,0
91,17:00:00,20:00:00,1200,0
91,20:00:00,22:00:00,3600,0
92,05:00:00,22:00:00,2100,0
93,05:00:00,22:00:00,2100,0
94,05:00:00,07:00:00,7200,0
94,07:00:00,09:00:00,1440,0
94,09:00:00,17:00:00,1440,0
94,17:00:00,20:00:00,1560,0
94,20:00:00,22:00:00,3600,0
95,05:00:00,07:00:00,7200,0
95,07:00:00,09:00:00,1440,0
95,09:00:00,17:00:00,1440,0
95,17:00:00,20:00:00,1560,0
95,20:00:00,22:00:00,3600,0
96,05:00:00,22:00:00,1800,0
97,05:00:00,22:00:00,1800,0
98,05:00:00,22:00:00,3600,0
99,05:00:00,22:00:00,3600,0
100,05:00:00,07:00:00,1800,0
100,07:00:00,09:00:00,1200,0
100,09:00:00,17:00:00,1620,0
100,17:00:00,20:00:00,2700,0
100,20:00:00,22:00:00,1800,0
101,05:00:00,07:00:00,1800,0
101,07:00:00,09:00:00,1200,0
101,09:00:00,17:00:00,1620,0
101,17:00:00,20:00:00,2700,0
101,20:00:00,22:00:00,1800,0
102,05:00:00,22:00:00,3600,0
103,05:00:00,22:00:00,3600,0
104,05:00:00,07:00:00,480,0
104,07:00:00,09:00:00,780,0
104,09:00:00,17:00:00,960,0
104,17:00:00,20:00:00,840,0
104,20:00:00,22:00:00,1200,0
105,05:00:00,07:00:00,480,0
105,07:00:00,09:00:00,780,0
105,09:00:00,17:00:00,960,0
105,17:00:00,20:00:00,840,0
105,20:00:00,22:00:00,1200,0
106,05:00:00,22:00:00,1800,0
107,05:00:00,22:00:00,1800,0
108,05:00:00,22:00:00,3600,0
109,05:00:00,22:00:00,3600,0
110,05:00:00,22:00:00,3600,0
111,05:00:00,22:00:00,3600,0
112,04:00:00,07:00:00,600,0
112,07:00:00,09:00:00,540,0
112,09:00:00,17:00:00,600,0
112,17:00:00,20:00:00,720,0
112,20:00:00,22:00:00,1800,0
113,04:00:00,07:00:00,600,0
113,07:00:00,09:00:00,540,0
113,09:00:00,17:00:00,600,0
113,17:00:00,20:00:00,720,0
113,20:00:00,22:00:00,1800,0
114,05:00:00,07:00:00,2400,0
114,07:00:00,09:00:00,1200,0
114,09:00:00,17:00:00,2400,0
114,17:00:00,20:00:00,2700,0
115,05:00:00,07:00:00,2400,0
115,07:00:00,09:00:00,1200,0
115,09:00:00,17:00:00,2400,0
115,17:00:00,20:00:00,2700,0
116,05:00:00,22:00:00,1800,0
117,05:00:00,22:00:00,1800,0
118,05:00:00,22:00:00,3600,0
119,05:00:00,22:00:00,3600,0
120,09:00:00,17:00:00,2640,0
121,09:00:00,17:00:00,2640,0
122,09:00:00,20:00:00,4140,0
122,20:00:00,22:00:00,7200,0
123,09:00:00,20:00:00,4140,0
123,20:00:00,22:00:00,7200,0
124,05:00:00,07:00:00,3600,0
124,07:00:00,09:00:00,1440,0
124,09:00:00,17:00:00,1680,0
124,17:00:00,20:00:00,2700,0
124,20:00:00,22:00:00,7200,0
125,05:00:00,07:00:00,3600,0
125,07:00:00,09:00:00,1440,0
125,09:00:00,17:00:00,1680,0
125,17:00:00,20:00:00,2700,0
125,20:00:00,22:00:00,7200,0
126,05:00:00,22:00:00,3600,0
127,05:00:00,22:00:00,3600,0
128,05:00:00,22:00:00,3000,0
129,05:00:00,22:00:00,3000,0
130,05:00:00,22:00:00,1800,0
131,05:00:00,22:00:00,1800,0
132,05:00:00,07:00:00,1440,0
132,07:00:00,09:00:00,2400,0
132,09:00:00,17:00:00,1500,0
132,17:00:00,20:00:00,1800,0
132,20:00:00,22:00:00,1200,0
133,05:00:00,07:00:00,1440,0
133,07:00:00,09:00:00,2400,0
133,09:00:00,17:00:00,1500,0
133,17:00:00,20:00:00,1800,0
133,20:00:00,22:00:00,1200,0
134,05:00:00,07:00:00,1440,0
134,07:00:00,09:00:00,2400,0
134,09:00:00,17:00:00,1200,0
134,17:00:00,20:00:00,1200,0
134,20:00:00,22:00:00,3600,0
135,05:00:00,07:00:00,1440,0
135,07:00:00,09:00:00,2400,0
135,09:00:00,17:00:00,1200,0
135,17:00:00,20:00:00,1200,0
135,20:00:00,22:00:00,3600,0
136,05:00:00,22:00:00,1500,0
137,05:00:00,22:00:00,1500,0
138,05:00:00,07:00:00,2400,0
138,07:00:00,09:00:00,1200,0
138,09:00:00,17:00:00,1080,0
138,17:00:00,20:00:00,1200,0
138,20:00:00,22:00:00,1440,0
139,05:00:00,07:00:00,2400,0
139,07:00:00,09:00:00,1200,0
139,09:00:00,17:00:00,1080,0
139,17:00:00,20:00:00,1200,0
139,20:00:00,22:00:00,1440,0
140,05:00:00,07:00:00,2400,0
140,07:00:00,09:00:00,3600,0
140,09:00:00,17:00:00,2040,0
140,17:00:00,20:00:00,1800,0
140,20:00:00,22:00:00,2400,0
141,05:00:00,07:00:00,2400,0
141,07:00:00,09:00:00,3600,0
141,09:00:00,17:00:00,2040,0
141,17:00:00,20:00:00,1800,0
141,20:00:00,22:00:00,2400,0
142,05:00:00,22:00:00,1800,0
143,05:00:00,22:00:00,1800,0
144,05:00:00,07:00:00,1800,0
144,07:00:00,09:00:00,2400,0
144,09:00:00,17:00:00,2220,0
144,17:00:00,20:00:00,1800,0
144,20:00:00,22:00:00,7200,0
145,05:00:00,07:00:00,1800,0
145,07:00:00,09:00:00,2400,0
145,09:00:00,17:00:00,2220,0
145,17:00:00,20:00:00,1800,0
145,20:00:00,22:00:00,7200,0
146,05:00:00,22:00:00,1200,0
147,05:00:00,22:00:00,1200,0
148,05:00:00,22:00:00,3600,0
149,05:00:00,22:00:00,3600,0
150,05:00:00,22:00:00,3600,0
151,05:00:00,22:00:00,3600,0
152,05:00:00,22:00:00,3600,0
153,05:00:00,22:00:00,3600,0
154,05:00:00,22:00:00,3600,0
155,05:00:00,22:00:00,3600,0
156,09:00:00,17:00:00,3600,0
157,09:00:00,17:00:00,3600,0
158,05:00:00,07:00:00,7200,0
158,07:00:00,09:00:00,1200,0
158,09:00:00,17:00:00,1440,0
158,17:00:00,20:00:00,1380,0
159,05:00:00,07:00:00,7200,0
159,07:00:00,09:00:00,1200,0
159,09:00:00,17:00:00,1440,0
159,17:00:00,20:00:00,1380,0
160,05:00:00,22:00:00,1800,0
161,05:00:00,22:00:00,1800,0
162,05:00:00,22:00:00,1800,0
163,05:00:00,22:00:00,1800,0
164,05:00:00,22:00:00,1800,0
165,05:00:00,22:00:00,1800,0
166,05:00:00,07:00:00,7200,0
166,07:00:00,09:00:00,1020,0
166,09:00:00,17:00:00,2040,0
166,17:00:00,20:00:00,2160,0
167,05:00:00,07:00:00,7200,0
167,07:00:00,09:00:00,1020,0
167,09:00:00,17:00:00,2040,0
167,17:00:00,20:00:00,2160,0
168,05:00:00,07:00:00,780,0
168,07:00:00,09:00:00,1020,0
168,09:00:00,17:00:00,1320,0
168,17:00:00,20:00:00,1560,0
168,20:00:00,22:00:00,1440,0
169,05:00:00,07:00:00,780,0
169,07:00:00,09:00:00,1020,0
169,09:00:00,17:00:00,1320,0
169,17:00:00,20:00:00,1560,0
169,20:00:00,22:00:00,1440,0
170,05:00:00,22:00:00,1800,0
171,05:00:00,22:00:00,1800,0
172,05:00:00,22:00:00,2100,0
173,05:00:00,22:00:00,2100,0
174,05:00:00,22:00:00,1800,0
175,05:00:00,22:00:00,1800,0
176,05:00:00,07:00:00,1800,0
176,07:00:00,09:00:00,2400,0
176,09:00:00,17:00:00,1440,0
176,17:00:00,20:00:00,2700,0
176,20:00:00,22:00:00,3600,0
177,05:00:00,07:00:00,1800,0
177,07:00:00,09:00:00,2400,0
177,09:00:00,17:00:00,1440,0
177,17:00:00,20:00:00,2700,0
177,20:00:00,22:00:00,3600,0
178,05:00:00,22:00:00,3600,0
179,05:00:00,22:00:00,3600,0
180,05:00:00,22:00:00,3600,0
181,05:00:00,22:00:00,3600,0
182,05:00:00,07:00:00,7200,0
182,07:00:00,09:00:00,1800,0
182,09:00:00,17:00:00,2880,0
182,17:00:00,20:00:00,2160,0
183,05:00:00,07:00:00,7200,0
183,07:00:00,09:00:00,1800,0
183,09:00:00,17:00:00,2880,0
183,17:00:00,20:00:00,2160,0
184,09:00:00,17:00:00,5760,0
185,09:00:00,17:00:00,5760,0
186,05:00:00,07:00:00,720,0
186,07:00:00,09:00:00,1440,0
186,09:00:00,17:00:00,1320,0
186,17:00:00,20:00:00,1080,0
186,20:00:00,22:00:00,1440,0
187,05:00:00,07:00:00,720,0
187,07:00:00,09:00:00,1440,0
187,09:00:00,17:00:00,1320,0
187,17:00:00,20:00:00,1080,0
187,20:00:00,22:00:00,1440,0
188,05:00:00,22:00:00,3600,0
189,05:00:00,22:00:00,3600,0
190,05:00:00,22:00:00,2700,0
191,05:00:00,22:00:00,2700,0
192,05:00:00,07:00:00,3600,0
192,07:00:00,09:00:00,3600,0
192,09:00:00,17:00:00,3600,0
192,17:00:00,20:00:00,3600,0
193,05:00:00,07:00:00,3600,0
193,07:00:00,09:00:00,3600,0
193,09:00:00,17:00:00,3600,0
193,17:00:00,20:00:00,3600,0
194,05:00:00,22:00:00,1800,0
195,05:00:00,22:00:00,1800,0
196,05:00:00,07:00:00,660,0
196,07:00:00,09:00:00,900,0
196,09:00:00,17:00:00,1320,0
196,17:00:00,20:00:00,1560,0
196,20:00:00,22:00:00,1440,0
197,05:00:00,07:00:00,660,0
197,07:00:00,09:00:00,900,0
197,09:00:00,17:00:00,1320,0
197,17:00:00,20:00:00,1560,0
197,20:00:00,22:00:00,1440,0
198,05:00:00,22:00:00,3600,0
199,05:00:00,22:00:00,3600,0
200,05:00:00,22:00:00,3300,0
201,05:00:00,22:00:00,3300,0
202,05:00:00,07:00:00,7200,0
202,07:00:00,09:00:00,1800,0
202,09:00:00,17:00:00,1800,0
202,17:00:00,20:00:00,1560,0
202,20:00:00,22:00:00,7200,0
203,05:00:00,07:00:00,7200,0
203,07:00:00,09:00:00,1800,0
203,09:00:00,17:00:00,1800,0
203,17:00:00,20:00:00,1560,0
203,20:00:00,22:00:00,7200,0
204,05:00:00,07:00:00,7200,0
204,07:00:00,09:00:00,2400,0
204,09:00:00,17:00:00,2400,0
204,17:00:00,20:00:00,1560,0
205,05:00:00,07:00:00,7200,0
205,07:00:00,09:00:00,2400,0
205,09:00:00,17:00:00,2400,0
205,17:00:00,20:00:00,1560,0
206,05:00:00,22:00:00,3000,0
207,05:00:00,22:00:00,3000,0
208,05:00:00,22:00:00,900,0
209,05:00:00,22:00:00,900,0
210,05:00:00,22:00:00,3600,0
211,05:00:00,22:00:00,3600,0
212,05:00:00,22:00:00,2700,0
213,05:00:00,22:00:00,2700,0
214,05:00:00,22:00:00,1800,0
215,05:00:00,22:00:00,1800,0
216,05:00:00,22:00:00,3600,0
217,05:00:00,22:00:00,3600,0
218,05:00:00,22:00:00,3600,0
219,05:00:00,22:00:00,3600,0
220,05:00:00,07:00:00,3600,0
220,07:00:00,09:00:00,900,0
220,09:00:00,17:00:00,1920,0
220,17:00:00,20:00:00,1800,0
221,05:00:00,07:00:00,3600,0
221,07:00:00,09:00:00,900,0
221,09:00:00,17:00:00,1920,0
221,17:00:00,20:00:00,1800,0
222,05:00:00,22:00:00,1800,0
223,05:00:00,22:00:00,1800,0
224,05:00:00,22:00:00,900,0
225,05:00:00,22:00:00,900,0
226,05:00:00,22:00:00,1200,0
227,05:00:00,22:00:00,1200,0
228,05:00:00,22:00:00,3600,0
229,05:00:00,22:00:00,3600,0
230,05:00:00,22:00:00,1800,0
231,05:00:00,22:00:00,1800,0
232,05:00:00,22:00:00,1200,0
233,05:00:00,22:00:00,1200,0
234,05:00:00,22:00:00,1800,0
235,05:00:00,22:00:00,1800,0
236,05:00:00,22:00:00,1500,0
237,05:00:00,22:00:00,1500,0
238,05:00:00,22:00:00,3600,0
239,05:00:00,22:00:00,3600,0
240,05:00:00,22:00:00,3600,0
241,05:00:00,22:00:00,3600,0
242,05:00:00,07:00:00,7200,0
242,07:00:00,09:00:00,1200,0
242,09:00:00,17:00:00,5760,0
242,17:00:00,20:00:00,2700,0
243,05:00:00,07:00:00,7200,0
243,07:00:00,09:00:00,1200,0
243,09:00:00,17:00:00,5760,0
243,17:00:00,20:00:00,2700,0
244,05:00:00,22:00:00,1800,0
